1740413442.675987 server started (72401): version 3.4, socket /private/tmp/tmux-502/default, protocol 8
1740413442.676022 on Darwin 23.6.0 Darwin Kernel Version 23.6.0: Mon Jul 29 21:14:04 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T8122
1740413442.676029 using libevent 2.1.12-stable select
1740413442.676038 using utf8proc 2.9.0
1740413442.676044 using ncurses 6.5 20240427
1740413442.712549 cmd_parse_build_commands 0:0: send
1740413442.712551 cmd_parse_build_commands 0:1: -N
1740413442.712553 cmd_parse_build_commands 0:2: %%
1740413442.712556 args_parse_flags: next -N
1740413442.712558 args_parse_flag_argument: -N = %%
1740413442.712560 args_parse: flags end at 3 of 3
1740413442.712567 cmd_parse_build_commands: send-keys -N "%%"
1740413442.712570 args_parse_flags: next -Np(repeat)
1740413442.712572 args_parse_flags: -N
1740413442.712574 args_parse_flag_argument: -p = (repeat)
1740413442.712576 args_parse_flags: next -I1
1740413442.712578 args_parse_flag_argument: -I = 1
1740413442.712580 args_parse: flags end at 3 of 4
1740413442.712584 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1740413442.712590 cmd_parse_build_commands: command-prompt -N -I 1 -p (repeat) { send-keys -N "%%" }
1740413442.712592 args_parse_flags: next -Tcopy-mode-vi
1740413442.712595 args_parse_flag_argument: -T = copy-mode-vi
1740413442.712597 args_parse_flags: next 1
1740413442.712599 args_parse: flags end at 2 of 4
1740413442.712601 args_parse: 2 = 1 (type STRING)
1740413442.712607 args_parse: 3 = command-prompt -N -I 1 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1740413442.712616 cmd_parse_build_commands: bind-key -T copy-mode-vi 1 { command-prompt -N -I 1 -p (repeat) { send-keys -N "%%" } }
1740413442.712620 cmdq_get_command: [bind-key/0x144e47320] group 2092
1740413442.712622 cmdq_append <global>: [bind-key/0x144e47320]
1740413442.712624 yylex_token: end at WS
1740413442.712626 yylex_token: bind
1740413442.712629 yylex_token: end at WS
1740413442.712631 yylex_token: -Tcopy-mode-vi
1740413442.712633 yylex_token: end at WS
1740413442.712635 yylex_token: 2
1740413442.712638 yylex_token: end at WS
1740413442.712640 yylex_token: command-prompt
1740413442.712642 yylex_token: end at WS
1740413442.712644 yylex_token: -Np(repeat)
1740413442.712647 yylex_token: end at WS
1740413442.712649 yylex_token: -I2
1740413442.712651 yylex_token: end at WS
1740413442.712653 yylex_token: send
1740413442.712655 yylex_token: end at WS
1740413442.712657 yylex_token: -N
1740413442.712659 yylex_token: end at WS
1740413442.712661 yylex_token: %%
1740413442.712664 cmd_parse_build_commands 0:0: bind
1740413442.712666 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1740413442.712668 cmd_parse_build_commands 0:2: 2
1740413442.712670 cmd_parse_build_commands 0:3 0:0: command-prompt
1740413442.712673 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1740413442.712675 cmd_parse_build_commands 0:3 0:2: -I2
1740413442.712677 cmd_parse_build_commands 0:3 0:3 0:0: send
1740413442.712679 cmd_parse_build_commands 0:3 0:3 0:1: -N
1740413442.712681 cmd_parse_build_commands 0:3 0:3 0:2: %%
1740413442.712684 cmd_parse_build_commands 0:0: command-prompt
1740413442.712686 cmd_parse_build_commands 0:1: -Np(repeat)
1740413442.712689 cmd_parse_build_commands 0:2: -I2
1740413442.712691 cmd_parse_build_commands 0:3 0:0: send
1740413442.712693 cmd_parse_build_commands 0:3 0:1: -N
1740413442.712695 cmd_parse_build_commands 0:3 0:2: %%
1740413442.712698 cmd_parse_build_commands 0:0: send
1740413442.712700 cmd_parse_build_commands 0:1: -N
1740413442.712702 cmd_parse_build_commands 0:2: %%
1740413442.712705 args_parse_flags: next -N
1740413442.712707 args_parse_flag_argument: -N = %%
1740413442.712709 args_parse: flags end at 3 of 3
1740413442.712713 cmd_parse_build_commands: send-keys -N "%%"
1740413442.712715 args_parse_flags: next -Np(repeat)
1740413442.712717 args_parse_flags: -N
1740413442.712719 args_parse_flag_argument: -p = (repeat)
1740413442.712722 args_parse_flags: next -I2
1740413442.712724 args_parse_flag_argument: -I = 2
1740413442.712726 args_parse: flags end at 3 of 4
1740413442.712729 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1740413442.712736 cmd_parse_build_commands: command-prompt -N -I 2 -p (repeat) { send-keys -N "%%" }
1740413442.712738 args_parse_flags: next -Tcopy-mode-vi
1740413442.712740 args_parse_flag_argument: -T = copy-mode-vi
1740413442.712743 args_parse_flags: next 2
1740413442.712745 args_parse: flags end at 2 of 4
1740413442.712747 args_parse: 2 = 2 (type STRING)
1740413442.712753 args_parse: 3 = command-prompt -N -I 2 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1740413442.712762 cmd_parse_build_commands: bind-key -T copy-mode-vi 2 { command-prompt -N -I 2 -p (repeat) { send-keys -N "%%" } }
1740413442.712773 cmdq_get_command: [bind-key/0x144e479c0] group 2104
1740413442.712776 cmdq_append <global>: [bind-key/0x144e479c0]
1740413442.712778 yylex_token: end at WS
1740413442.712780 yylex_token: bind
1740413442.712783 yylex_token: end at WS
1740413442.712785 yylex_token: -Tcopy-mode-vi
1740413442.712787 yylex_token: end at WS
1740413442.712789 yylex_token: 3
1740413442.712791 yylex_token: end at WS
1740413442.712794 yylex_token: command-prompt
1740413442.712796 yylex_token: end at WS
1740413442.712798 yylex_token: -Np(repeat)
1740413442.712800 yylex_token: end at WS
1740413442.712802 yylex_token: -I3
1740413442.712804 yylex_token: end at WS
1740413442.712806 yylex_token: send
1740413442.712808 yylex_token: end at WS
1740413442.712810 yylex_token: -N
1740413442.712813 yylex_token: end at WS
1740413442.712815 yylex_token: %%
1740413442.712817 cmd_parse_build_commands 0:0: bind
1740413442.712819 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1740413442.712822 cmd_parse_build_commands 0:2: 3
1740413442.712824 cmd_parse_build_commands 0:3 0:0: command-prompt
1740413442.712826 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1740413442.712828 cmd_parse_build_commands 0:3 0:2: -I3
1740413442.712830 cmd_parse_build_commands 0:3 0:3 0:0: send
1740413442.712833 cmd_parse_build_commands 0:3 0:3 0:1: -N
1740413442.712835 cmd_parse_build_commands 0:3 0:3 0:2: %%
1740413442.712838 cmd_parse_build_commands 0:0: command-prompt
1740413442.712840 cmd_parse_build_commands 0:1: -Np(repeat)
1740413442.712842 cmd_parse_build_commands 0:2: -I3
1740413442.712844 cmd_parse_build_commands 0:3 0:0: send
1740413442.712846 cmd_parse_build_commands 0:3 0:1: -N
1740413442.712848 cmd_parse_build_commands 0:3 0:2: %%
1740413442.712851 cmd_parse_build_commands 0:0: send
1740413442.712853 cmd_parse_build_commands 0:1: -N
1740413442.712855 cmd_parse_build_commands 0:2: %%
1740413442.712858 args_parse_flags: next -N
1740413442.712861 args_parse_flag_argument: -N = %%
1740413442.712863 args_parse: flags end at 3 of 3
1740413442.712866 cmd_parse_build_commands: send-keys -N "%%"
1740413442.712868 args_parse_flags: next -Np(repeat)
1740413442.712870 args_parse_flags: -N
1740413442.712873 args_parse_flag_argument: -p = (repeat)
1740413442.712875 args_parse_flags: next -I3
1740413442.712877 args_parse_flag_argument: -I = 3
1740413442.712881 args_parse: flags end at 3 of 4
1740413442.712884 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1740413442.712891 cmd_parse_build_commands: command-prompt -N -I 3 -p (repeat) { send-keys -N "%%" }
1740413442.712893 args_parse_flags: next -Tcopy-mode-vi
1740413442.712895 args_parse_flag_argument: -T = copy-mode-vi
1740413442.712897 args_parse_flags: next 3
1740413442.712900 args_parse: flags end at 2 of 4
1740413442.712902 args_parse: 2 = 3 (type STRING)
1740413442.712908 args_parse: 3 = command-prompt -N -I 3 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1740413442.712916 cmd_parse_build_commands: bind-key -T copy-mode-vi 3 { command-prompt -N -I 3 -p (repeat) { send-keys -N "%%" } }
1740413442.712920 cmdq_get_command: [bind-key/0x144e47ff0] group 2116
1740413442.712922 cmdq_append <global>: [bind-key/0x144e47ff0]
1740413442.712924 yylex_token: end at WS
1740413442.712927 yylex_token: bind
1740413442.712929 yylex_token: end at WS
1740413442.712931 yylex_token: -Tcopy-mode-vi
1740413442.712933 yylex_token: end at WS
1740413442.712935 yylex_token: 4
1740413442.712938 yylex_token: end at WS
1740413442.712940 yylex_token: command-prompt
1740413442.712942 yylex_token: end at WS
1740413442.712944 yylex_token: -Np(repeat)
1740413442.712947 yylex_token: end at WS
1740413442.712949 yylex_token: -I4
1740413442.712951 yylex_token: end at WS
1740413442.712953 yylex_token: send
1740413442.712955 yylex_token: end at WS
1740413442.712957 yylex_token: -N
1740413442.712959 yylex_token: end at WS
1740413442.712961 yylex_token: %%
1740413442.712964 cmd_parse_build_commands 0:0: bind
1740413442.712966 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1740413442.712968 cmd_parse_build_commands 0:2: 4
1740413442.712970 cmd_parse_build_commands 0:3 0:0: command-prompt
1740413442.712976 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1740413442.712978 cmd_parse_build_commands 0:3 0:2: -I4
1740413442.712981 cmd_parse_build_commands 0:3 0:3 0:0: send
1740413442.712983 cmd_parse_build_commands 0:3 0:3 0:1: -N
1740413442.712985 cmd_parse_build_commands 0:3 0:3 0:2: %%
1740413442.712988 cmd_parse_build_commands 0:0: command-prompt
1740413442.712990 cmd_parse_build_commands 0:1: -Np(repeat)
1740413442.712992 cmd_parse_build_commands 0:2: -I4
1740413442.712994 cmd_parse_build_commands 0:3 0:0: send
1740413442.712996 cmd_parse_build_commands 0:3 0:1: -N
1740413442.712999 cmd_parse_build_commands 0:3 0:2: %%
1740413442.713001 cmd_parse_build_commands 0:0: send
1740413442.713003 cmd_parse_build_commands 0:1: -N
1740413442.713005 cmd_parse_build_commands 0:2: %%
1740413442.713008 args_parse_flags: next -N
1740413442.713010 args_parse_flag_argument: -N = %%
1740413442.713013 args_parse: flags end at 3 of 3
1740413442.713016 cmd_parse_build_commands: send-keys -N "%%"
1740413442.713018 args_parse_flags: next -Np(repeat)
1740413442.713020 args_parse_flags: -N
1740413442.713023 args_parse_flag_argument: -p = (repeat)
1740413442.713025 args_parse_flags: next -I4
1740413442.713027 args_parse_flag_argument: -I = 4
1740413442.713029 args_parse: flags end at 3 of 4
1740413442.713032 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1740413442.713039 cmd_parse_build_commands: command-prompt -N -I 4 -p (repeat) { send-keys -N "%%" }
1740413442.713041 args_parse_flags: next -Tcopy-mode-vi
1740413442.713043 args_parse_flag_argument: -T = copy-mode-vi
1740413442.713045 args_parse_flags: next 4
1740413442.713048 args_parse: flags end at 2 of 4
1740413442.713050 args_parse: 2 = 4 (type STRING)
1740413442.713056 args_parse: 3 = command-prompt -N -I 4 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1740413442.713064 cmd_parse_build_commands: bind-key -T copy-mode-vi 4 { command-prompt -N -I 4 -p (repeat) { send-keys -N "%%" } }
1740413442.713068 cmdq_get_command: [bind-key/0x144e486d0] group 2128
1740413442.713070 cmdq_append <global>: [bind-key/0x144e486d0]
1740413442.713073 yylex_token: end at WS
1740413442.713075 yylex_token: bind
1740413442.713077 yylex_token: end at WS
1740413442.713080 yylex_token: -Tcopy-mode-vi
1740413442.713082 yylex_token: end at WS
1740413442.713084 yylex_token: 5
1740413442.713086 yylex_token: end at WS
1740413442.713088 yylex_token: command-prompt
1740413442.713091 yylex_token: end at WS
1740413442.713093 yylex_token: -Np(repeat)
1740413442.713095 yylex_token: end at WS
1740413442.713097 yylex_token: -I5
1740413442.713099 yylex_token: end at WS
1740413442.713101 yylex_token: send
1740413442.713103 yylex_token: end at WS
1740413442.713105 yylex_token: -N
1740413442.713107 yylex_token: end at WS
1740413442.713109 yylex_token: %%
1740413442.713112 cmd_parse_build_commands 0:0: bind
1740413442.713114 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1740413442.713116 cmd_parse_build_commands 0:2: 5
1740413442.713119 cmd_parse_build_commands 0:3 0:0: command-prompt
1740413442.713121 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1740413442.713123 cmd_parse_build_commands 0:3 0:2: -I5
1740413442.713125 cmd_parse_build_commands 0:3 0:3 0:0: send
1740413442.713127 cmd_parse_build_commands 0:3 0:3 0:1: -N
1740413442.713130 cmd_parse_build_commands 0:3 0:3 0:2: %%
1740413442.713133 cmd_parse_build_commands 0:0: command-prompt
1740413442.713135 cmd_parse_build_commands 0:1: -Np(repeat)
1740413442.713137 cmd_parse_build_commands 0:2: -I5
1740413442.713139 cmd_parse_build_commands 0:3 0:0: send
1740413442.713141 cmd_parse_build_commands 0:3 0:1: -N
1740413442.713143 cmd_parse_build_commands 0:3 0:2: %%
1740413442.713146 cmd_parse_build_commands 0:0: send
1740413442.713148 cmd_parse_build_commands 0:1: -N
1740413442.713150 cmd_parse_build_commands 0:2: %%
1740413442.713154 args_parse_flags: next -N
1740413442.713156 args_parse_flag_argument: -N = %%
1740413442.713158 args_parse: flags end at 3 of 3
1740413442.713162 cmd_parse_build_commands: send-keys -N "%%"
1740413442.713164 args_parse_flags: next -Np(repeat)
1740413442.713169 args_parse_flags: -N
1740413442.713172 args_parse_flag_argument: -p = (repeat)
1740413442.713174 args_parse_flags: next -I5
1740413442.713176 args_parse_flag_argument: -I = 5
1740413442.713178 args_parse: flags end at 3 of 4
1740413442.713181 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1740413442.713188 cmd_parse_build_commands: command-prompt -N -I 5 -p (repeat) { send-keys -N "%%" }
1740413442.713190 args_parse_flags: next -Tcopy-mode-vi
1740413442.713192 args_parse_flag_argument: -T = copy-mode-vi
1740413442.713195 args_parse_flags: next 5
1740413442.713197 args_parse: flags end at 2 of 4
1740413442.713199 args_parse: 2 = 5 (type STRING)
1740413442.713205 args_parse: 3 = command-prompt -N -I 5 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1740413442.713214 cmd_parse_build_commands: bind-key -T copy-mode-vi 5 { command-prompt -N -I 5 -p (repeat) { send-keys -N "%%" } }
1740413442.713217 cmdq_get_command: [bind-key/0x144e48d10] group 2140
1740413442.713220 cmdq_append <global>: [bind-key/0x144e48d10]
1740413442.713222 yylex_token: end at WS
1740413442.713224 yylex_token: bind
1740413442.713227 yylex_token: end at WS
1740413442.713229 yylex_token: -Tcopy-mode-vi
1740413442.713231 yylex_token: end at WS
1740413442.713233 yylex_token: 6
1740413442.713235 yylex_token: end at WS
1740413442.713237 yylex_token: command-prompt
1740413442.713240 yylex_token: end at WS
1740413442.713242 yylex_token: -Np(repeat)
1740413442.713244 yylex_token: end at WS
1740413442.713246 yylex_token: -I6
1740413442.713248 yylex_token: end at WS
1740413442.713250 yylex_token: send
1740413442.713252 yylex_token: end at WS
1740413442.713254 yylex_token: -N
1740413442.713256 yylex_token: end at WS
1740413442.713258 yylex_token: %%
1740413442.713261 cmd_parse_build_commands 0:0: bind
1740413442.713263 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1740413442.713265 cmd_parse_build_commands 0:2: 6
1740413442.713268 cmd_parse_build_commands 0:3 0:0: command-prompt
1740413442.713270 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1740413442.713272 cmd_parse_build_commands 0:3 0:2: -I6
1740413442.713274 cmd_parse_build_commands 0:3 0:3 0:0: send
1740413442.713277 cmd_parse_build_commands 0:3 0:3 0:1: -N
1740413442.713279 cmd_parse_build_commands 0:3 0:3 0:2: %%
1740413442.713282 cmd_parse_build_commands 0:0: command-prompt
1740413442.713284 cmd_parse_build_commands 0:1: -Np(repeat)
1740413442.713286 cmd_parse_build_commands 0:2: -I6
1740413442.713288 cmd_parse_build_commands 0:3 0:0: send
1740413442.713290 cmd_parse_build_commands 0:3 0:1: -N
1740413442.713292 cmd_parse_build_commands 0:3 0:2: %%
1740413442.713295 cmd_parse_build_commands 0:0: send
1740413442.713297 cmd_parse_build_commands 0:1: -N
1740413442.713299 cmd_parse_build_commands 0:2: %%
1740413442.713302 args_parse_flags: next -N
1740413442.713304 args_parse_flag_argument: -N = %%
1740413442.713307 args_parse: flags end at 3 of 3
1740413442.713310 cmd_parse_build_commands: send-keys -N "%%"
1740413442.713312 args_parse_flags: next -Np(repeat)
1740413442.713314 args_parse_flags: -N
1740413442.713317 args_parse_flag_argument: -p = (repeat)
1740413442.713319 args_parse_flags: next -I6
1740413442.713321 args_parse_flag_argument: -I = 6
1740413442.713323 args_parse: flags end at 3 of 4
1740413442.713326 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1740413442.713333 cmd_parse_build_commands: command-prompt -N -I 6 -p (repeat) { send-keys -N "%%" }
1740413442.713335 args_parse_flags: next -Tcopy-mode-vi
1740413442.713337 args_parse_flag_argument: -T = copy-mode-vi
1740413442.713339 args_parse_flags: next 6
1740413442.713341 args_parse: flags end at 2 of 4
1740413442.713344 args_parse: 2 = 6 (type STRING)
1740413442.713349 args_parse: 3 = command-prompt -N -I 6 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1740413442.713358 cmd_parse_build_commands: bind-key -T copy-mode-vi 6 { command-prompt -N -I 6 -p (repeat) { send-keys -N "%%" } }
1740413442.713362 cmdq_get_command: [bind-key/0x144e49300] group 2152
1740413442.713364 cmdq_append <global>: [bind-key/0x144e49300]
1740413442.713370 yylex_token: end at WS
1740413442.713372 yylex_token: bind
1740413442.713374 yylex_token: end at WS
1740413442.713376 yylex_token: -Tcopy-mode-vi
1740413442.713379 yylex_token: end at WS
1740413442.713381 yylex_token: 7
1740413442.713383 yylex_token: end at WS
1740413442.713385 yylex_token: command-prompt
1740413442.713388 yylex_token: end at WS
1740413442.713390 yylex_token: -Np(repeat)
1740413442.713392 yylex_token: end at WS
1740413442.713394 yylex_token: -I7
1740413442.713396 yylex_token: end at WS
1740413442.713398 yylex_token: send
1740413442.713400 yylex_token: end at WS
1740413442.713402 yylex_token: -N
1740413442.713404 yylex_token: end at WS
1740413442.713406 yylex_token: %%
1740413442.713409 cmd_parse_build_commands 0:0: bind
1740413442.713411 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1740413442.713413 cmd_parse_build_commands 0:2: 7
1740413442.713416 cmd_parse_build_commands 0:3 0:0: command-prompt
1740413442.713418 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1740413442.713420 cmd_parse_build_commands 0:3 0:2: -I7
1740413442.713422 cmd_parse_build_commands 0:3 0:3 0:0: send
1740413442.713424 cmd_parse_build_commands 0:3 0:3 0:1: -N
1740413442.713427 cmd_parse_build_commands 0:3 0:3 0:2: %%
1740413442.713429 cmd_parse_build_commands 0:0: command-prompt
1740413442.713432 cmd_parse_build_commands 0:1: -Np(repeat)
1740413442.713434 cmd_parse_build_commands 0:2: -I7
1740413442.713436 cmd_parse_build_commands 0:3 0:0: send
1740413442.713438 cmd_parse_build_commands 0:3 0:1: -N
1740413442.713440 cmd_parse_build_commands 0:3 0:2: %%
1740413442.713443 cmd_parse_build_commands 0:0: send
1740413442.713445 cmd_parse_build_commands 0:1: -N
1740413442.713447 cmd_parse_build_commands 0:2: %%
1740413442.713450 args_parse_flags: next -N
1740413442.713452 args_parse_flag_argument: -N = %%
1740413442.713454 args_parse: flags end at 3 of 3
1740413442.713458 cmd_parse_build_commands: send-keys -N "%%"
1740413442.713460 args_parse_flags: next -Np(repeat)
1740413442.713462 args_parse_flags: -N
1740413442.713464 args_parse_flag_argument: -p = (repeat)
1740413442.713467 args_parse_flags: next -I7
1740413442.713469 args_parse_flag_argument: -I = 7
1740413442.713471 args_parse: flags end at 3 of 4
1740413442.713474 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1740413442.713481 cmd_parse_build_commands: command-prompt -N -I 7 -p (repeat) { send-keys -N "%%" }
1740413442.713483 args_parse_flags: next -Tcopy-mode-vi
1740413442.713485 args_parse_flag_argument: -T = copy-mode-vi
1740413442.713488 args_parse_flags: next 7
1740413442.713490 args_parse: flags end at 2 of 4
1740413442.713492 args_parse: 2 = 7 (type STRING)
1740413442.713498 args_parse: 3 = command-prompt -N -I 7 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1740413442.713506 cmd_parse_build_commands: bind-key -T copy-mode-vi 7 { command-prompt -N -I 7 -p (repeat) { send-keys -N "%%" } }
1740413442.713510 cmdq_get_command: [bind-key/0x144e49930] group 2164
1740413442.713512 cmdq_append <global>: [bind-key/0x144e49930]
1740413442.713515 yylex_token: end at WS
1740413442.713517 yylex_token: bind
1740413442.713519 yylex_token: end at WS
1740413442.713521 yylex_token: -Tcopy-mode-vi
1740413442.713523 yylex_token: end at WS
1740413442.713525 yylex_token: 8
1740413442.713528 yylex_token: end at WS
1740413442.713530 yylex_token: command-prompt
1740413442.713532 yylex_token: end at WS
1740413442.713534 yylex_token: -Np(repeat)
1740413442.713537 yylex_token: end at WS
1740413442.713539 yylex_token: -I8
1740413442.713541 yylex_token: end at WS
1740413442.713543 yylex_token: send
1740413442.713545 yylex_token: end at WS
1740413442.713547 yylex_token: -N
1740413442.713549 yylex_token: end at WS
1740413442.713551 yylex_token: %%
1740413442.713554 cmd_parse_build_commands 0:0: bind
1740413442.713556 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1740413442.713558 cmd_parse_build_commands 0:2: 8
1740413442.713560 cmd_parse_build_commands 0:3 0:0: command-prompt
1740413442.713563 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1740413442.713569 cmd_parse_build_commands 0:3 0:2: -I8
1740413442.713572 cmd_parse_build_commands 0:3 0:3 0:0: send
1740413442.713574 cmd_parse_build_commands 0:3 0:3 0:1: -N
1740413442.713576 cmd_parse_build_commands 0:3 0:3 0:2: %%
1740413442.713579 cmd_parse_build_commands 0:0: command-prompt
1740413442.713581 cmd_parse_build_commands 0:1: -Np(repeat)
1740413442.713583 cmd_parse_build_commands 0:2: -I8
1740413442.713585 cmd_parse_build_commands 0:3 0:0: send
1740413442.713588 cmd_parse_build_commands 0:3 0:1: -N
1740413442.713590 cmd_parse_build_commands 0:3 0:2: %%
1740413442.713592 cmd_parse_build_commands 0:0: send
1740413442.713594 cmd_parse_build_commands 0:1: -N
1740413442.713597 cmd_parse_build_commands 0:2: %%
1740413442.713599 args_parse_flags: next -N
1740413442.713602 args_parse_flag_argument: -N = %%
1740413442.713604 args_parse: flags end at 3 of 3
1740413442.713608 cmd_parse_build_commands: send-keys -N "%%"
1740413442.713610 args_parse_flags: next -Np(repeat)
1740413442.713612 args_parse_flags: -N
1740413442.713614 args_parse_flag_argument: -p = (repeat)
1740413442.713616 args_parse_flags: next -I8
1740413442.713618 args_parse_flag_argument: -I = 8
1740413442.713621 args_parse: flags end at 3 of 4
1740413442.713624 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1740413442.713631 cmd_parse_build_commands: command-prompt -N -I 8 -p (repeat) { send-keys -N "%%" }
1740413442.713633 args_parse_flags: next -Tcopy-mode-vi
1740413442.713635 args_parse_flag_argument: -T = copy-mode-vi
1740413442.713637 args_parse_flags: next 8
1740413442.713639 args_parse: flags end at 2 of 4
1740413442.713642 args_parse: 2 = 8 (type STRING)
1740413442.713648 args_parse: 3 = command-prompt -N -I 8 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1740413442.713656 cmd_parse_build_commands: bind-key -T copy-mode-vi 8 { command-prompt -N -I 8 -p (repeat) { send-keys -N "%%" } }
1740413442.713660 cmdq_get_command: [bind-key/0x144e49f90] group 2176
1740413442.713662 cmdq_append <global>: [bind-key/0x144e49f90]
1740413442.713664 yylex_token: end at WS
1740413442.713667 yylex_token: bind
1740413442.713669 yylex_token: end at WS
1740413442.713671 yylex_token: -Tcopy-mode-vi
1740413442.713673 yylex_token: end at WS
1740413442.713675 yylex_token: 9
1740413442.713678 yylex_token: end at WS
1740413442.713680 yylex_token: command-prompt
1740413442.713682 yylex_token: end at WS
1740413442.713684 yylex_token: -Np(repeat)
1740413442.713687 yylex_token: end at WS
1740413442.713689 yylex_token: -I9
1740413442.713691 yylex_token: end at WS
1740413442.713693 yylex_token: send
1740413442.713695 yylex_token: end at WS
1740413442.713697 yylex_token: -N
1740413442.713699 yylex_token: end at WS
1740413442.713701 yylex_token: %%
1740413442.713704 cmd_parse_build_commands 0:0: bind
1740413442.713706 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1740413442.713708 cmd_parse_build_commands 0:2: 9
1740413442.713710 cmd_parse_build_commands 0:3 0:0: command-prompt
1740413442.713713 cmd_parse_build_commands 0:3 0:1: -Np(repeat)
1740413442.713715 cmd_parse_build_commands 0:3 0:2: -I9
1740413442.713717 cmd_parse_build_commands 0:3 0:3 0:0: send
1740413442.713719 cmd_parse_build_commands 0:3 0:3 0:1: -N
1740413442.713721 cmd_parse_build_commands 0:3 0:3 0:2: %%
1740413442.713724 cmd_parse_build_commands 0:0: command-prompt
1740413442.713726 cmd_parse_build_commands 0:1: -Np(repeat)
1740413442.713728 cmd_parse_build_commands 0:2: -I9
1740413442.713730 cmd_parse_build_commands 0:3 0:0: send
1740413442.713733 cmd_parse_build_commands 0:3 0:1: -N
1740413442.713735 cmd_parse_build_commands 0:3 0:2: %%
1740413442.713737 cmd_parse_build_commands 0:0: send
1740413442.713740 cmd_parse_build_commands 0:1: -N
1740413442.713742 cmd_parse_build_commands 0:2: %%
1740413442.713745 args_parse_flags: next -N
1740413442.713747 args_parse_flag_argument: -N = %%
1740413442.713749 args_parse: flags end at 3 of 3
1740413442.713753 cmd_parse_build_commands: send-keys -N "%%"
1740413442.713755 args_parse_flags: next -Np(repeat)
1740413442.713757 args_parse_flags: -N
1740413442.713759 args_parse_flag_argument: -p = (repeat)
1740413442.713765 args_parse_flags: next -I9
1740413442.713767 args_parse_flag_argument: -I = 9
1740413442.713769 args_parse: flags end at 3 of 4
1740413442.713772 args_parse: 3 = send-keys -N "%%" (type COMMANDS)
1740413442.713779 cmd_parse_build_commands: command-prompt -N -I 9 -p (repeat) { send-keys -N "%%" }
1740413442.713781 args_parse_flags: next -Tcopy-mode-vi
1740413442.713783 args_parse_flag_argument: -T = copy-mode-vi
1740413442.713785 args_parse_flags: next 9
1740413442.713788 args_parse: flags end at 2 of 4
1740413442.713790 args_parse: 2 = 9 (type STRING)
1740413442.713795 args_parse: 3 = command-prompt -N -I 9 -p (repeat) { send-keys -N "%%" } (type COMMANDS)
1740413442.713804 cmd_parse_build_commands: bind-key -T copy-mode-vi 9 { command-prompt -N -I 9 -p (repeat) { send-keys -N "%%" } }
1740413442.713807 cmdq_get_command: [bind-key/0x144e4a590] group 2188
1740413442.713810 cmdq_append <global>: [bind-key/0x144e4a590]
1740413442.713812 yylex_token: end at WS
1740413442.713814 yylex_token: bind
1740413442.713817 yylex_token: end at WS
1740413442.713819 yylex_token: -Tcopy-mode-vi
1740413442.713821 yylex_token: end at WS
1740413442.713823 yylex_token: :
1740413442.713825 yylex_token: end at WS
1740413442.713827 yylex_token: command-prompt
1740413442.713830 yylex_token: end at WS
1740413442.713832 yylex_token: -p(goto line)
1740413442.713834 yylex_token: end at WS
1740413442.713836 yylex_token: send
1740413442.713838 yylex_token: end at WS
1740413442.713840 yylex_token: -X
1740413442.713843 yylex_token: end at WS
1740413442.713845 yylex_token: goto-line
1740413442.713847 yylex_token: end at WS
1740413442.713849 yylex_token: %%
1740413442.713852 cmd_parse_build_commands 0:0: bind
1740413442.713854 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1740413442.713856 cmd_parse_build_commands 0:2: :
1740413442.713858 cmd_parse_build_commands 0:3 0:0: command-prompt
1740413442.713860 cmd_parse_build_commands 0:3 0:1: -p(goto line)
1740413442.713863 cmd_parse_build_commands 0:3 0:2 0:0: send
